latitude,longitude,store_id,store_name,pincode,address,dc_blinkit_internal_city,dc_blinkit_internal_city_id,scraping_enabled,pluscode,last_active_dt,discovery_dt
28.674685,77.30319,29581,Super Store - Delhi Jhilmil ES1,110095,,delhi,229702738,0,7JWVM8F3+V7G6XMG,2100-01-01,2025-01-01
28.510794,77.02068,29650,Super Store - Gurgaon Sector 112 ES14,110077,,gurgaon,227138302,0,7JWVG26C+877QPG7,2100-01-01,2025-01-01
22.603031,88.40449,29859,Super Store - Kolkata Laketown ES1,700089,,kolkata,229248797,0,7MJCJC33+6Q98734,2100-01-01,2025-01-01
23.126696,72.557014,29861,Super Store - Ahmedabad Chandkheda ES1,380016,,ahmedabad,225912447,0,7JMJ4HG4+MRCW76F,2100-01-01,2025-01-01
18.954624,72.83971,30024,Super Store - Mumbai Mazgaon ES2,400012,,mumbai,223525546,0,7JCJXR3Q+RVWWWXQ,2100-01-01,2025-01-01
28.712389,77.15527,30175,Super Store - Delhi Shalimar Bagh ES10,110088,,delhi,229702738,0,7JWVP564+X42GPR3,2100-01-01,2025-01-01
12.895992,77.55438,30248,Super Store - Bengaluru Kanakpura ES4,560041,,bengaluru,225966022,0,7J4VVHW3+9QRMF3C,2100-01-01,2025-01-01
28.743301,77.15414,30299,Super Store - Delhi Badli ES19,110032,,delhi,229702738,0,7JWVP5V3+8MC3967,2100-01-01,2025-01-01
28.674564,77.329025,30303,Super Store - UPNCR Gyani Border ES11,201014,,ghaziabad,229764213,0,7JWVM8FH+RJCHW3R,2100-01-01,2025-01-01
28.3501,77.316734,30308,Super Store - Faridabad Arjun Vatika ES6,121006,,faridabad,223106950,0,7JWV9828+2MQ,2026-07-29,2025-01-01
28.590866,77.3054,30315,Super Store - Delhi Maaldev Market ES27,110096,,delhi,229702738,0,7JWVH8R4+85R,2026-07-29,2025-01-01
28.48636,77.53471,30320,Super Store - UPNCR Sakipur ES16,201311,,ghaziabad,229764213,0,7JWVFGPM+GVWH72J,2100-01-01,2025-01-01
28.441917,77.33518,30322,Super Store - Faridabad New DLF ES7,121013,,faridabad,223106950,0,7JWVC8RP+Q37QG5Q,2100-01-01,2025-01-01
28.495869,77.1018,30375,Super Store - Gurgaon DLF Phase 3 ES28,122018,,gurgaon,227138302,0,7JWVF4W2+8PVPJ66,2100-01-01,2025-01-01
12.949708,77.60332,30377,Super Store - Bengaluru Kormangala ES14,560030,,bengaluru,225966022,0,7J4VWJX3+V8P6J95,2100-01-01,2025-01-01
13.009331,77.65271,30378,Super Store - Bengaluru NR Layout ES3,560055,,bengaluru,225966022,0,7J5V2M53+P3P839Q,2100-01-01,2025-01-01
28.500172,77.43452,30415,Super Store - UPNCR Sector 143 ES17,110080,,delhi,229702738,0,7JWVGC2M+3R6V989,2100-01-01,2025-01-01
26.88431,75.75217,30421,Super Store - Jaipur Nirman Nagar ES2,302033,,jaipur,226506314,0,7JRQVQM2+PVF7VJX,2100-01-01,2025-01-01
26.912031,75.837875,30422,Super Store - Jaipur Adarsh Nagar ES5,302016,,jaipur,226506314,0,7JRQWR6Q+R49949F,2100-01-01,2025-01-01
18.54803,73.936066,30442,Super Store - Pune Wadgaon Sheri ES3,412207,,pune,222422410,0,7JCMGWXP+6C795QX,2100-01-01,2025-01-01
22.445274,88.30843,30446,Super Store - Kolkata Joka ES17,700103,,kolkata,229248797,0,7MJCC8W5+493XWR2,2100-01-01,2025-01-01
26.91423,75.76684,30471,Super Store - Jaipur Bais Godam ES6,302017,,jaipur,226506314,0,7JRQWQ78+MPW9236,2100-01-01,2025-01-01
28.515665,77.136665,30474,Super Store - Delhi Vasant Kunj ES35,110074,,delhi,229702738,0,7JWVG48P+7M7FVM3,2100-01-01,2025-01-01
26.86485,80.96991,30484,Super Store - Lucknow Nishatganj ES4,226020,,lucknow,223714189,0,7MR2VX79+WXMRR52,2100-01-01,2025-01-01
26.858433,80.99548,30485,Super Store - Lucknow Vivek Khand ES6,226028,,lucknow,223714189,0,7MR2VX5W+95H7GXJ,2100-01-01,2025-01-01
22.57052,88.383606,30492,Super Store - Kolkata Canal Circular Rd ES18,700085,,kolkata,229248797,0,7MJCH9CM+6C5V48F,2100-01-01,2025-01-01
18.523209,73.91908,30513,Super Store - Pune Hadapsar ES5,411006,,pune,222422410,0,7JCMGWF9+7JP8RGF,2100-01-01,2025-01-01
22.43146,88.388756,30548,Super Store - Kolkata Kamalgazi ES12,700104,,kolkata,229248797,0,7MJCC9JQ+HGJ6WJP,2100-01-01,2025-01-01
22.510742,88.43005,30549,Super Store - Kolkata Nazirabad ES9,700053,,kolkata,229248797,0,7MJCGC6J+72VQ6WF,2100-01-01,2025-01-01
22.542877,88.38842,30551,Super Store - Kolkata Tangra ES16,700052,,kolkata,229248797,0,7MJCG9VQ+5933H7R,2100-01-01,2025-01-01
12.99867,77.73715,30558,Super Store - Bengaluru Kadugodi ES7,560067,,bengaluru,225966022,0,7J4VXPXP+FV6QW64,2100-01-01,2025-01-01
12.9416,77.6594,30559,Super Store - Bengaluru HAL ES10,560037,,bengaluru,225966022,0,7J4VWMR5+JQJ,2026-07-29,2025-01-01
23.028675,72.53561,30560,Super Store - Ahmedabad Satellite ES6,380024,,ahmedabad,225912447,0,7JMJ2GHP+F6H35G7,2100-01-01,2025-01-01
17.3835,78.415436,30563,Super Store - Hyderabad Toli Chowki ES6,500008,,hyderabad,227188707,0,7J9W9CM8+95V,2026-07-29,2025-01-01
12.983489,77.531715,30566,Super Store - Bengaluru Kamakshipalya ES15,560077,,bengaluru,225966022,0,7J4VXGMJ+9MWHMXR,2100-01-01,2025-01-01
18.568092,73.808815,30579,Super Store - Pune Aundh ES4,411057,,pune,222422410,0,7JCMHR95+6GMQQ8H,2100-01-01,2025-01-01
28.661627,77.36637,30608,Super Store - UPNCR Vasundhara ES15,201010,,ghaziabad,229764213,0,7JWVM968+MG5,2026-07-29,2025-01-01
12.881313,77.658356,30614,Super Store - Bengaluru Haralur ES25,560035,,bengaluru,225966022,0,7J4VVMJ5+G8HFFXF,2100-01-01,2025-01-01
18.477993,73.90082,30615,Super Store - Pune Kondhwa ES6,411021,,pune,222422410,0,7JCMFWH2+58WJH6M,2100-01-01,2025-01-01
12.988562,77.69099,30622,Super Store - Bengaluru Mahadevpura ES24,560092,,bengaluru,225966022,0,7J4VXMQR+C9HF976,2100-01-01,2025-01-01
12.879879,77.62583,30638,Super Store - Bengaluru Hongasandra ES30 LD,560078,,bengaluru,225966022,0,7J4VVJHG+X844W62,2100-01-01,2025-01-01
12.904987,80.228,30644,Super Store - Chennai Sholinganallur ES4,600077,,chennai,226774846,0,7M42W63H+X5XHH9X,2100-01-01,2025-01-01
13.008266,77.6844,30647,Super Store - Bengaluru Anandpura ES12,560016,,bengaluru,225966022,0,7J5V2M5M+8Q2,2026-07-29,2025-01-01
17.412607,78.40687,30650,Super Store - Hyderabad Film Nagar ES8,500008,,hyderabad,227188707,0,7J9WCC74+2PX987C,2026-07-29,2025-01-01
18.983334,72.816666,30660,Super Store - Mumbai Worli ES15,400034,,mumbai,223525546,0,7JCJXRM8+8MM,2026-07-29,2025-01-01
22.5631,88.32497,30663,Super Store - Kolkata Shibpur ES19,711102,,howrah,223312066,0,7MJCH87F+6XW,2026-07-29,2025-01-01
12.962414,77.6323,30664,Super Store - Bengaluru Indiranagar ES27,560033,,bengaluru,225966022,0,7J4VXJ6J+XW7GPR9,2100-01-01,2025-01-01
18.60497,73.7793,30667,Super Store - Pune Pimple Saudagar ES10,412101,,pune,222422410,0,7JCMJQ3H+XPMV56V,2100-01-01,2025-01-01
22.610119,88.36962,30668,Super Store - Kolkata Gallif Street ES21,711206,,kolkata,229248797,0,7MJCJ969+2RXQJ4J,2100-01-01,2025-01-01
19.037956,72.91116,30673,Super Store - Mumbai Govandi Chembur ES9,410218,,mumbai,223525546,0,7JFJ2WQ6+5FM73F3,2100-01-01,2025-01-01
28.471167,77.02866,30677,Super Store - Gurgaon Sector 5 ES37,122001,,gurgaon,227138302,0,7JWVF2CH+FF7,2026-07-29,2025-01-01
18.5015,73.847336,30681,Super Store - Pune Kasturi Chowk ES8,411030,,pune,222422410,0,7JCMGR2W+HWW,2026-07-29,2025-01-01
28.608433,77.4084,30691,Super Store - UPNCR Gaur City 1 ES23,201009,,delhi,229702738,0,7JWVJC55+99C,2026-07-29,2025-01-01
28.67058,77.09076,30693,Super Store - Delhi Paschim Vihar ES32,110034,,delhi,229702738,0,7JWVM3CR+68J3V4W,2100-01-01,2025-01-01
