kind,id,name,dc_blinkit_internal_city,latitude,longitude,is_active,place_of_supply,assignment_basis,distance_km,supply_site_latitude,supply_site_longitude,pos_active_warehouse_count,pos_inactive_warehouse_count,pos_locality_count,pos_area_km2,pos_km2_per_active_warehouse,pos_area_balance
warehouse,1375846305,AHMEDABAD A2 - FEEDER WAREHOUSE,ahmedabad,22.9086,72.3062,1,ahmedabad,site,,22.9086,72.3062,1,38,118,38470,38470,stretched
warehouse,1104503077,BENGALURU B3 - FEEDER WAREHOUSE,bengaluru,12.7159,77.746,1,bengaluru,site,,12.7159,77.746,3,59,220,52882,17627,stretched
warehouse,821457531,BENGALURU B4 - FEEDER WAREHOUSE,bengaluru,13.0743,77.8171,1,bengaluru,site,,13.0743,77.8171,3,59,220,52882,17627,stretched
warehouse,200613024,BENGALURU B5 - FEEDER WAREHOUSE,bengaluru,13.082,77.7913,1,bengaluru,site,,13.082,77.7913,3,59,220,52882,17627,stretched
warehouse,2262448317,BHOPAL B1 - FEEDER WAREHOUSE,bhopal,23.2599,77.4126,1,bhopal,site,,23.2599,77.4126,1,2,28,8294,8294,proportional
warehouse,2830948912,BHUBANESWAR B1 - FEEDER WAREHOUSE,bhubaneswar,20.2765,85.7012,1,bhubaneswar,site,,20.2765,85.7012,1,1,20,5276,5276,proportional
warehouse,1375790936,CHENNAI C3 - FEEDER WAREHOUSE,chennai,13.0827,80.2707,1,chennai,site,,13.0827,80.2707,3,13,98,33883,11294,proportional
warehouse,408069458,CHENNAI C4 - FEEDER WAREHOUSE,chennai,13.0827,80.2707,1,chennai,site,,13.0827,80.2707,3,13,98,33883,11294,proportional
warehouse,2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,13.2073,80.0018,1,chennai,site,,13.2073,80.0018,3,13,98,33883,11294,proportional
warehouse,1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,10.9795,77.0401,1,coimbatore,site,,10.9795,77.0401,1,9,46,40154,40154,stretched
warehouse,3740105004,DASNA D3 - FEEDER WAREHOUSE,dasna,28.6773,77.563,1,dasna,site,,28.6773,77.563,2,2,15,4511,2256,concentrated
warehouse,1173749492,DEHRADUN - FEEDER WAREHOUSE,dehradun,30.3165,78.0322,1,dehradun,site,,30.3165,78.0322,1,43,47,6372,6372,proportional
warehouse,1226675405,FARIDABAD - FEEDER WAREHOUSE,faridabad,28.4089,77.3178,1,faridabad,site,,28.4089,77.3178,1,7,53,10208,10208,proportional
warehouse,1438523129,FARUKHNAGAR - SR FEEDER WAREHOUSE,farukhnagar,28.6559,76.6882,1,farukhnagar,site,,28.6559,76.6882,2,2,27,16301,8151,proportional
warehouse,442780811,FARUKHNAGAR F2 - FEEDER WAREHOUSE,farukhnagar,28.458,76.8496,1,farukhnagar,site,,28.458,76.8496,2,2,27,16301,8151,proportional
warehouse,2286428884,GOA - FEEDER WAREHOUSE,goa,15.2993,74.124,1,goa,site,,15.2993,74.124,2,35,34,17782,8891,proportional
warehouse,262657879,GOA G2 - FEEDER WAREHOUSE,goa,15.3917,73.8791,1,goa,site,,15.3917,73.8791,2,35,34,17782,8891,proportional
warehouse,4110612487,GUWAHATI G1 - FEEDER WAREHOUSE,guwahati,26.1259,91.6907,1,guwahati,site,,26.1259,91.6907,2,2,25,6032,3016,concentrated
warehouse,2821769092,GUWAHATI G2 - FEEDER WAREHOUSE,guwahati,26.1829,91.7497,1,guwahati,site,,26.1829,91.7497,2,2,25,6032,3016,concentrated
warehouse,3768082634,HYDERABAD H3 - FEEDER WAREHOUSE,hyderabad,17.5366,78.5643,1,hyderabad,site,,17.5366,78.5643,3,100,131,39128,13042,proportional
warehouse,3984626855,HYDERABAD H4 - FEEDER WAREHOUSE,hyderabad,17.385,78.4867,1,hyderabad,site,,17.385,78.4867,3,100,131,39128,13042,proportional
warehouse,746579571,INDORE - FEEDER WAREHOUSE,indore,22.7196,75.8577,1,indore,site,,22.7196,75.8577,2,5,31,14771,7386,proportional
warehouse,1321243387,INDORE I2 - FEEDER WAREHOUSE,indore,22.7196,75.8577,1,indore,site,,22.7196,75.8577,2,5,31,14771,7386,proportional
warehouse,2313476367,JAIPUR J3 - FEEDER WAREHOUSE,jaipur,26.8108,75.7953,1,jaipur,site,,26.8108,75.7953,2,11,77,28186,14093,proportional
warehouse,3323325090,JAIPUR J4 - FEEDER WAREHOUSE,jaipur,27.032,75.7932,1,jaipur,site,,27.032,75.7932,2,11,77,28186,14093,proportional
warehouse,3763904247,KOLKATA K4 - FEEDER WAREHOUSE,kolkata,22.7337,88.4787,1,kolkata,site,,22.7337,88.4787,3,11,121,18889,6296,proportional
warehouse,3515046234,KOLKATA K5 - FEEDER WAREHOUSE,kolkata,22.4825,88.1741,1,kolkata,site,,22.4825,88.1741,3,11,121,18889,6296,proportional
warehouse,2175006782,KOLKATA K6 - FEEDER WAREHOUSE,kolkata,22.674,88.3325,1,kolkata,site,,22.674,88.3325,3,11,121,18889,6296,proportional
warehouse,3734974131,KUNDLI - FEEDER WAREHOUSE,kundli,29.0048,77.0358,1,kundli,site,,29.0048,77.0358,1,4,20,7830,7830,proportional
warehouse,1030368784,LUCKNOW L5 - FEEDER WAREHOUSE,lucknow,26.7474,80.9452,1,lucknow,site,,26.7474,80.9452,2,7,92,39582,19791,stretched
warehouse,3637017910,LUDHIANA - FEEDER WAREHOUSE,ludhiana,30.9009,75.8573,1,ludhiana,site,,30.9009,75.8573,2,2,51,38214,19107,stretched
warehouse,1408453524,LUDHIANA L2 - FEEDER WAREHOUSE,ludhiana,30.9009,75.8573,1,ludhiana,site,,30.9009,75.8573,2,2,51,38214,19107,stretched
warehouse,1136140685,MUMBAI M10 - FEEDER WAREHOUSE,mumbai,19.0513,73.1563,1,mumbai,site,,19.0513,73.1563,3,13,189,9344,3115,concentrated
warehouse,4253467288,MUMBAI M11 - FEEDER WAREHOUSE,mumbai,19.082,73.2298,1,mumbai,site,,19.082,73.2298,3,13,189,9344,3115,concentrated
warehouse,2554308920,MUMBAI M12 - FEEDER WAREHOUSE,mumbai,19.2433,73.0572,1,mumbai,site,,19.2433,73.0572,3,13,189,9344,3115,concentrated
warehouse,3880840089,NAGPUR N1 - FEEDER WAREHOUSE,nagpur,21.2912,78.7922,1,nagpur,site,,21.2912,78.7922,1,17,37,23108,23108,stretched
warehouse,1864473374,NOIDA N1 - FEEDER WAREHOUSE,noida,28.5355,77.391,1,noida,site,,28.5355,77.391,1,25,317,2527,2527,concentrated
warehouse,1622595085,PATNA P1 - FEEDER WAREHOUSE,patna,25.6331,85.1636,1,patna,site,,25.6331,85.1636,2,5,54,33224,16612,stretched
warehouse,2554612506,PATNA P2 - FEEDER WAREHOUSE,patna,25.6106,85.1866,1,patna,site,,25.6106,85.1866,2,5,54,33224,16612,stretched
warehouse,793959259,PUNE P2 - FEEDER WAREHOUSE,pune,18.5655,73.5988,1,pune,site,,18.5655,73.5988,2,24,119,19984,9992,proportional
warehouse,4270283227,PUNE P3 - FEEDER WAREHOUSE,pune,18.6714,73.7836,1,pune,site,,18.6714,73.7836,2,24,119,19984,9992,proportional
warehouse,2194420056,RAJPURA - FEEDER WAREHOUSE,rajpura,30.4977,76.596,1,rajpura,site,,30.4977,76.596,2,2,13,5000,2500,concentrated
warehouse,1888721021,RAJPURA R2 - FEEDER WAREHOUSE,rajpura,30.4977,76.596,1,rajpura,site,,30.4977,76.596,2,2,13,5000,2500,concentrated
warehouse,4085182458,RANCHI R1 - FEEDER WAREHOUSE,ranchi,23.3533,85.3112,1,ranchi,site,,23.3533,85.3112,2,6,47,32731,16365,stretched
