"filter_key","wh_name","dc_blinkit_internal_city","place_of_supply","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be","po_number","po_state","units_ordered","remaining_quantity","total_amount"
ahmedabad-10252336,AHMEDABAD A2 - FEEDER WAREHOUSE,ahmedabad,ahmedabad,"10252336",52,0,11.092014252777195,9.340694006309151,0.0,4.688057445200302,"2738110067651",Scheduled,12,12,24351.6
surat-10249577,CPC - SURAT1 (HP),surat,surat,"10249577",1,0,0.0,0.11842754536981191,0.0,0.0,"","",0,0,0.0
guwahati-10216726,GUWAHATI G2 - FEEDER WAREHOUSE,guwahati,guwahati,"10216726",196,76,28.154543322673575,37.10291079051368,2.699386707465976,9.660962953036124,"51894410003549",Scheduled,144,144,3744.0
mumbai-10315543,MUMBAI M10 - FEEDER WAREHOUSE,mumbai,mumbai,"10315543",54,128,20.915358100344697,21.924902891670264,6.119904779344441,8.701739608130378,"2273910097415",Scheduled,48,48,1560.0
jaipur-10315341,JAIPUR J4 - FEEDER WAREHOUSE,jaipur,jaipur,"10315341",84,58,22.383586539826783,14.488311789592716,2.591184388471502,6.343934192464711,"49603310013567",Scheduled,96,96,3120.0
dasna-10315546,SUPER STORE DASNA 2 - WAREHOUSE,dasna,dasna,"10315546",119,15,22.846209773083842,21.43381290807188,0.656564049309929,5.865305507168698,"1724010051605",Scheduled,96,96,3120.0
aurangabad-(maharashtra)-10292367,CC-DTS-CHITEGAON1,aurangabad,aurangabad-(maharashtra),"10292367",12,4,2.177412448790802,2.957118148744558,1.837042863524248,7.348171454096992,"","",0,0,0.0
patna-10199527,PATNA P2 - FEEDER WAREHOUSE,patna,patna,"10199527",135,0,3.959392545478987,11.929174824212648,0.0,34.096139357071095,"50283910015103",Scheduled,180,180,6804.0
mumbai-10249576,MUMBAI M12 - FEEDER WAREHOUSE,mumbai,mumbai,"10249576",33,0,6.428571428571429,6.428571428571429,0.0,5.133333333333333,"50033210033504",Scheduled,60,60,117558.0
rajpura-10265740,RAJPURA R2 - FEEDER WAREHOUSE,rajpura,rajpura,"10265740",381,101,55.10955339902849,69.40738139986367,1.8327130918426295,8.746214953149975,"43886010069972",Scheduled,180,180,6804.0
dasna-10216722,SUPER STORE DASNA 2 - WAREHOUSE,dasna,dasna,"10216722",191,95,32.79007130402733,34.67992496909238,2.8972184634539646,8.722152426819305,"1724010051605",Scheduled,72,72,1872.0
agra-10315341,CPC-AGRA2,agra,agra,"10315341",31,2,1.1304841686781202,2.414718631598786,1.7691534790253705,29.191032403918612,"","",0,0,0.0
guwahati-10176794,GUWAHATI G1 - FEEDER WAREHOUSE,guwahati,guwahati,"10176794",87,53,1.746283444762949,14.684783772471995,30.350170334000126,80.17026125962298,"","",0,0,0.0
mumbai-10265740,MUMBAI M11 - FEEDER WAREHOUSE,mumbai,mumbai,"10265740",310,43,61.65335628227194,40.18716094032549,0.6974478372779909,5.725560152537925,"5625710053542",Scheduled,180,180,6804.0
noida-10298083,NOIDA N1 - FEEDER WAREHOUSE,noida,noida,"10298083",25,1,0.0,1.3609231993633104,0.0,0.0,"2867410094569",Scheduled,40,40,41972.0
delhi-10315547,CPC-DEL5,delhi,delhi,"10315547",12,0,0.14912768543121382,0.8829515052504009,0.0,80.46795580110498,"","",0,0,0.0
mumbai-10249577,MUMBAI M11 - FEEDER WAREHOUSE,mumbai,mumbai,"10249577",74,0,6.9183673469387745,5.745762711864407,0.0,10.696165191740414,"5625710056845",Scheduled,18,18,13847.4
farukhnagar-10258761,FARUKHNAGAR F2 - FEEDER WAREHOUSE,farukhnagar,farukhnagar,"10258761",217,23,16.0270087778528,12.787988860636881,1.4350775193798453,14.974721941354906,"5383910069593",Scheduled,36,36,6804.0
agra-10292367,CPC-AGRA2,agra,agra,"10292367",68,1,3.6290207479846703,2.653823979642552,0.2755564295286372,19.013393637475964,"","",0,0,0.0
nagpur-10315547,NAGPUR N1 - FEEDER WAREHOUSE,nagpur,nagpur,"10315547",231,246,53.9188890475116,47.23539986318587,4.562408542639532,8.84662144243519,"2549710050075",Scheduled,96,96,3120.0
lucknow-10216726,SUPER STORE LUCKNOW L4 - WAREHOUSE,lucknow,lucknow,"10216726",245,104,17.816546946379372,28.13637401613955,5.837270280992052,19.58853200063679,"1735810061288",Scheduled,72,72,1872.0
