"filter_key","dc_blinkit_warehouse_id","wh_name","dc_blinkit_internal_city","place_of_supply","variant_id","item_id","frontend_inv_qty","backend_inv_qty","drr_7_be","drr_7_fe_be","doi_be","doi_fe_be"
coimbatore-10325396,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"1368466","10325396",5,0,0.11711256940938919,0.0,0.0,42.69396551724138
coimbatore-10325396,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"1368466","10325396",5,0,0.11711256940938919,0.0,0.0,42.69396551724138
coimbatore-10176793,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581438","10176793",3,0,0.0,0.10140845070422534,0.0,0.0
coimbatore-10176793,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581438","10176793",3,0,0.0,0.10140845070422534,0.0,0.0
coimbatore-10258761,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"708957","10258761",2,0,0.0,0.0,0.0,0.0
coimbatore-10258761,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"708957","10258761",2,0,0.0,0.0,0.0,0.0
coimbatore-10176795,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581440","10176795",8,0,0.0,0.0,0.0,0.0
coimbatore-10176795,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581440","10176795",8,0,0.0,0.0,0.0,0.0
coimbatore-10258187,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"708073","10258187",1,0,0.0,0.0,0.0,0.0
coimbatore-10258187,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"708073","10258187",1,0,0.0,0.0,0.0,0.0
coimbatore-10265737,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"719409","10265737",2,0,0.09706321553011449,0.11879378617118487,0.0,20.605128205128203
coimbatore-10265737,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"719409","10265737",2,0,0.09706321553011449,0.11879378617118487,0.0,20.605128205128203
coimbatore-10249578,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"696717","10249578",1,0,0.0,0.0,0.0,0.0
coimbatore-10249578,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"696717","10249578",1,0,0.0,0.0,0.0,0.0
coimbatore-10176794,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581439","10176794",4,0,0.0,0.0,0.0,0.0
coimbatore-10176794,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581439","10176794",4,0,0.0,0.0,0.0,0.0
coimbatore-10216715,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"649989","10216715",20,0,0.0,0.12985614278021387,0.0,0.0
coimbatore-10216715,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"649989","10216715",20,0,0.0,0.12985614278021387,0.0,0.0
coimbatore-10199527,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"624551","10199527",4,0,0.0,0.0,0.0,0.0
coimbatore-10199527,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"624551","10199527",4,0,0.0,0.0,0.0,0.0
coimbatore-10216722,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"650002","10216722",3,0,0.18348623853211007,0.08569545154911008,0.0,16.35
coimbatore-10216722,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"650002","10216722",3,0,0.18348623853211007,0.08569545154911008,0.0,16.35
coimbatore-10260300,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"711067","10260300",3,0,0.0,0.0,0.0,0.0
coimbatore-10260300,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"711067","10260300",3,0,0.0,0.0,0.0,0.0
coimbatore-10249577,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"696716","10249577",2,0,0.0,0.0,0.0,0.0
coimbatore-10249577,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"696716","10249577",2,0,0.0,0.0,0.0,0.0
coimbatore-10176797,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581442","10176797",7,0,0.0,0.48437922543731055,0.0,0.0
coimbatore-10176797,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"581442","10176797",7,0,0.0,0.48437922543731055,0.0,0.0
coimbatore-10258333,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"708261","10258333",1,0,0.0,0.0,0.0,0.0
coimbatore-10258333,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"708261","10258333",1,0,0.0,0.0,0.0,0.0
coimbatore-10265740,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"719412","10265740",6,0,0.0,0.0,0.0,0.0
coimbatore-10265740,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"719412","10265740",6,0,0.0,0.0,0.0,0.0
coimbatore-10216726,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"650010","10216726",12,0,0.0,0.0,0.0,0.0
coimbatore-10216726,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"650010","10216726",12,0,0.0,0.0,0.0,0.0
coimbatore-10216709,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"649981","10216709",3,0,0.0,0.0,0.0,0.0
coimbatore-10216709,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"649981","10216709",3,0,0.0,0.0,0.0,0.0
coimbatore-10292367,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"759656","10292367",8,0,0.0,0.0,0.0,0.0
coimbatore-10292367,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"759656","10292367",8,0,0.0,0.0,0.0,0.0
coimbatore-10291036,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"757418","10291036",1,0,0.0,0.0,0.0,0.0
coimbatore-10291036,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"757418","10291036",1,0,0.0,0.0,0.0,0.0
coimbatore-10315547,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796934","10315547",3,0,0.0,0.0,0.0,0.0
coimbatore-10315547,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796934","10315547",3,0,0.0,0.0,0.0,0.0
coimbatore-10315543,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796930","10315543",2,0,0.0,0.0,0.0,0.0
coimbatore-10315543,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796930","10315543",2,0,0.0,0.0,0.0,0.0
coimbatore-10315341,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796627","10315341",4,0,0.0,0.0,0.0,0.0
coimbatore-10315341,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796627","10315341",4,0,0.0,0.0,0.0,0.0
coimbatore-10291038,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"757420","10291038",2,0,0.1327433628318584,0.0,0.0,15.066666666666668
coimbatore-10291038,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"757420","10291038",2,0,0.1327433628318584,0.0,0.0,15.066666666666668
coimbatore-10298083,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"767792","10298083",1,0,0.0,0.0,0.0,0.0
coimbatore-10298083,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"767792","10298083",1,0,0.0,0.0,0.0,0.0
coimbatore-10297369,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"766912","10297369",1,0,0.0,0.0,0.0,0.0
coimbatore-10297369,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"766912","10297369",1,0,0.0,0.0,0.0,0.0
coimbatore-10315546,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796933","10315546",4,0,0.0,0.0,0.0,0.0
coimbatore-10315546,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796933","10315546",4,0,0.0,0.0,0.0,0.0
coimbatore-10315586,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796973","10315586",1,0,0.0,0.0,0.0,0.0
coimbatore-10315586,51303155,CPC - COIMBATORE1 (HP),coimbatore,coimbatore,"796973","10315586",1,0,0.0,0.0,0.0,0.0
