"filter_key","po_number","dc_blinkit_internal_city","wh_name","place_of_supply","po_state","item_id","units_ordered","remaining_quantity","total_amount","create_dt","appointment_ts","expiry_ts"
indore-10216722,"50993810000359",indore,INDORE I2 - FEEDER WAREHOUSE,indore,Partially Scheduled,"10216722",216,216,5616.0,"2026-05-04","2026-05-14","2026-05-18"
indore-10265791,"50993810000359",indore,INDORE I2 - FEEDER WAREHOUSE,indore,Partially Scheduled,"10265791",180,180,6804.0,"2026-05-04","2026-05-14","2026-05-18"
indore-10249574,"50993810000789",indore,INDORE I2 - FEEDER WAREHOUSE,indore,Partially Scheduled,"10249574",12,12,24351.6,"2026-05-06","2026-05-16","2026-05-16"
indore-10249576,"50993810000789",indore,INDORE I2 - FEEDER WAREHOUSE,indore,Partially Scheduled,"10249576",12,12,23511.6,"2026-05-06","2026-05-16","2026-05-16"
pune-10216709,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10216709",144,144,3744.0,"2026-08-12","2026-08-18","2026-08-22"
pune-10216715,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10216715",72,72,1872.0,"2026-08-12","2026-08-18","2026-08-22"
pune-10252336,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10252336",24,24,48703.2,"2026-08-12","2026-08-18","2026-08-22"
pune-10258333,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10258333",36,36,6804.0,"2026-08-12","2026-08-18","2026-08-22"
pune-10265737,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10265737",36,36,6804.0,"2026-08-12","2026-08-18","2026-08-22"
pune-10291036,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10291036",24,24,18463.2,"2026-08-12","2026-08-18","2026-08-22"
pune-10292367,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10292367",144,144,11095.2,"2026-08-12","2026-08-18","2026-08-22"
pune-10315341,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10315341",96,96,3120.0,"2026-08-12","2026-08-18","2026-08-22"
pune-10315547,"1723710058323",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10315547",48,48,1560.0,"2026-08-12","2026-08-18","2026-08-22"
pune-10176795,"1723710058529",pune,PUNE P2 - FEEDER WAREHOUSE,pune,Scheduled,"10176795",180,180,6804.0,"2026-08-13","2026-08-20","2026-08-23"
