dc_blinkit_warehouse_id,warehouse,dc_blinkit_internal_city,latitude,longitude,is_active
1375846305,AHMEDABAD A2 - FEEDER WAREHOUSE,ahmedabad,22.9086,72.3062,1
1104503077,BENGALURU B3 - FEEDER WAREHOUSE,bengaluru,12.7159,77.746,1
821457531,BENGALURU B4 - FEEDER WAREHOUSE,bengaluru,13.0743,77.8171,1
200613024,BENGALURU B5 - FEEDER WAREHOUSE,bengaluru,13.082,77.7913,1
2262448317,BHOPAL B1 - FEEDER WAREHOUSE,bhopal,23.2599,77.4126,1
2830948912,BHUBANESWAR B1 - FEEDER WAREHOUSE,bhubaneswar,20.2765,85.7012,1
1375790936,CHENNAI C3 - FEEDER WAREHOUSE,chennai,13.0827,80.2707,1
408069458,CHENNAI C4 - FEEDER WAREHOUSE,chennai,13.0827,80.2707,1
2700047371,CHENNAI C5 - FEEDER WAREHOUSE,chennai,13.2073,80.0018,1
1590205753,COIMBATORE C1 - FEEDER WAREHOUSE,coimbatore,10.9795,77.0401,1
3740105004,DASNA D3 - FEEDER WAREHOUSE,dasna,28.6773,77.563,1
1173749492,DEHRADUN - FEEDER WAREHOUSE,dehradun,30.3165,78.0322,1
1226675405,FARIDABAD - FEEDER WAREHOUSE,faridabad,28.4089,77.3178,1
1438523129,FARUKHNAGAR - SR FEEDER WAREHOUSE,farukhnagar,28.6559,76.6882,1
442780811,FARUKHNAGAR F2 - FEEDER WAREHOUSE,farukhnagar,28.458,76.8496,1
2286428884,GOA - FEEDER WAREHOUSE,goa,15.2993,74.124,1
262657879,GOA G2 - FEEDER WAREHOUSE,goa,15.3917,73.8791,1
4110612487,GUWAHATI G1 - FEEDER WAREHOUSE,guwahati,26.1259,91.6907,1
2821769092,GUWAHATI G2 - FEEDER WAREHOUSE,guwahati,26.1829,91.7497,1
3768082634,HYDERABAD H3 - FEEDER WAREHOUSE,hyderabad,17.5366,78.5643,1
3984626855,HYDERABAD H4 - FEEDER WAREHOUSE,hyderabad,17.385,78.4867,1
746579571,INDORE - FEEDER WAREHOUSE,indore,22.7196,75.8577,1
1321243387,INDORE I2 - FEEDER WAREHOUSE,indore,22.7196,75.8577,1
2313476367,JAIPUR J3 - FEEDER WAREHOUSE,jaipur,26.8108,75.7953,1
3323325090,JAIPUR J4 - FEEDER WAREHOUSE,jaipur,27.032,75.7932,1
3763904247,KOLKATA K4 - FEEDER WAREHOUSE,kolkata,22.7337,88.4787,1
3515046234,KOLKATA K5 - FEEDER WAREHOUSE,kolkata,22.4825,88.1741,1
2175006782,KOLKATA K6 - FEEDER WAREHOUSE,kolkata,22.674,88.3325,1
3734974131,KUNDLI - FEEDER WAREHOUSE,kundli,29.0048,77.0358,1
1030368784,LUCKNOW L5 - FEEDER WAREHOUSE,lucknow,26.7474,80.9452,1
3637017910,LUDHIANA - FEEDER WAREHOUSE,ludhiana,30.9009,75.8573,1
1408453524,LUDHIANA L2 - FEEDER WAREHOUSE,ludhiana,30.9009,75.8573,1
1136140685,MUMBAI M10 - FEEDER WAREHOUSE,mumbai,19.0513,73.1563,1
4253467288,MUMBAI M11 - FEEDER WAREHOUSE,mumbai,19.082,73.2298,1
2554308920,MUMBAI M12 - FEEDER WAREHOUSE,mumbai,19.2433,73.0572,1
3880840089,NAGPUR N1 - FEEDER WAREHOUSE,nagpur,21.2912,78.7922,1
1864473374,NOIDA N1 - FEEDER WAREHOUSE,noida,28.5355,77.391,1
1622595085,PATNA P1 - FEEDER WAREHOUSE,patna,25.6331,85.1636,1
2554612506,PATNA P2 - FEEDER WAREHOUSE,patna,25.6106,85.1866,1
793959259,PUNE P2 - FEEDER WAREHOUSE,pune,18.5655,73.5988,1
4270283227,PUNE P3 - FEEDER WAREHOUSE,pune,18.6714,73.7836,1
2194420056,RAJPURA - FEEDER WAREHOUSE,rajpura,30.4977,76.596,1
1888721021,RAJPURA R2 - FEEDER WAREHOUSE,rajpura,30.4977,76.596,1
4085182458,RANCHI R1 - FEEDER WAREHOUSE,ranchi,23.3533,85.3112,1
3125280789,RANCHI R2 - FEEDER WAREHOUSE,ranchi,23.3348,85.3125,1
1942521142,SS MOHALI AJIT SINGH NAGAR PC - WAREHOUSE,mohali,30.7028,76.6985,1
2946725515,SUPER STORE DASNA 2 - WAREHOUSE,dasna,28.7251,77.5582,1
180908068,SUPER STORE GURGAON G7 ECOM - WAREHOUSE,gurgaon,28.4595,77.0266,1
3239329402,SUPER STORE HYDERABAD H2 - WAREHOUSE,hyderabad,17.385,78.4867,1
3313838791,SUPER STORE LUCKNOW L4 - WAREHOUSE,lucknow,26.7875,80.9923,1
2468542667,SURAT S1 - FEEDER WAREHOUSE,surat,21.1702,72.8311,1
2868928596,SURAT S2 - FEEDER WAREHOUSE,surat,21.1702,72.8311,1
2580011593,VARANASI V1 - FEEDER WAREHOUSE,varanasi,25.3176,82.9739,1
